rank,lemma,pos_kelly,pos_ud,english
4981,frittstående,adj,ADJ,free-standing
4982,hjelm,n,NOUN,helmet
4983,dikter,n,NOUN,poems
4984,ruin,n,NOUN,ruin
4985,styreformann,n,NOUN,chairman
4986,uinteressant,adj,ADJ,uninteresting
4987,gylden,adj,ADJ,golden
4988,narkoman,n,NOUN,drug addict
4989,grue,v,VERB,fear
4990,stupe,v,VERB,dive
4991,sidelenke,v,VERB,
4992,utbredelse,n,NOUN,extensiveness
4993,mobilisere,v,VERB,mobilise
4994,nordlig,adj,ADJ,Northerly
4995,tåpelig,adj,ADJ,stupid
4996,storme,v,VERB,storm
4997,kvote,n,NOUN,quota
4998,naturforvaltning,n,NOUN,nature management
4999,aktivere,adj,ADJ,activate
5000,fåtall,n,NOUN,few
5001,mishandle,v,VERB,mismanage
5002,hoste,v,VERB,cough
5003,legning,n,NOUN,tendency
5004,straffespark,n,NOUN,penalty kick
5005,helsemessig,adj,ADJ,health-related
5006,imperialisme,n,NOUN,imperialism
5007,risk,n,NOUN,risk
5008,teit,n,NOUN,stupid
5009,meditasjon,n,NOUN,meditation
5010,tomat,n,NOUN,tomato
5011,valgfrihet,n,NOUN,freedom of choice
5012,dess,adv,ADV,the (more)
5013,svimmelhet,n,NOUN,dizziness
5014,underliv,n,NOUN,abdomen
5015,taper,n,NOUN,loser
5016,åssen,adv,ADV,
5017,flash,n,NOUN,flash
5018,regjeringsparti,n,NOUN,party in government
5019,rådyr,n,NOUN,deer
