rank,lemma,pos_kelly,pos_ud,english
4413,betong,n,NOUN,concrete
4414,hydrogen,n,NOUN,hydrogen
4415,smykke,n,NOUN,jewellery
4416,ankomst,n,NOUN,arrival
4417,forespørsel,n,NOUN,request
4418,uttelling,n,NOUN,payment
4419,utstrakt,adj,ADJ,stretched
4420,bakterie,n,NOUN,bacteria
4421,berg,n,NOUN,mountain
4422,beta,v,VERB,captivate
4423,aldeles,adv,ADV,quite
4424,lydkvalitet,n,NOUN,sound quality
4425,overvåke,n,NOUN,monitor
4426,trøst,n,NOUN,comfort
4427,tilbehør,n,NOUN,accessory
4428,utviklingsarbeid,n,NOUN,development work
4429,allsidig,adj,ADJ,comprehensive
4430,indeks,n,NOUN,index
4431,legendarisk,adj,ADJ,legendary
4432,skapende,adj,ADJ,creative
4433,spektakulær,adj,ADJ,spectacular
4434,synliggjøre,v,VERB,visualise
4435,sjakk,n,NOUN,chess
4436,savn,n,NOUN,want
4437,humanistisk,adj,ADJ,humanistic
4438,avslappet,adj,ADJ,relaxed
4439,realfag,n,NOUN,science subject
4440,rotete,adj,ADJ,messy
4441,dyrlege,n,NOUN,veterinarian
4442,optimisme,n,NOUN,optimism
4443,aust-agder,n,NOUN,
4444,oppvokst,adj,ADJ,raised
4445,rømme,v,VERB,clear
4446,svette,n,NOUN,sweat
4447,femten,det,DET,fifteen
4448,suse,v,VERB,rush
4449,administrator,n,NOUN,administrator
4450,protokoll,n,NOUN,protocol
4451,trøkk,n,NOUN,
4452,kjemikalie,n,NOUN,chemical
4453,rane,v,VERB,rob
4454,dagtid,n,NOUN,daytime
4455,signatur,n,NOUN,signature
4456,gjerde,n,NOUN,fence
4457,garderobe,n,NOUN,wardrobe
4458,irakisk,adj,ADJ,Iraqi
4459,transaksjone,n,NOUN,transactions
4460,applikasjon,n,NOUN,application
4461,grus,n,NOUN,gravel
4462,mishandling,n,NOUN,mistreatment
4463,påfallende,adj,ADJ,striking
4464,match,n,NOUN,match
4465,alarm,n,NOUN,alarm
4466,elektronikk,n,NOUN,electronics
4467,allergisk,adj,ADJ,allergic
4468,fremtredende,adj,ADJ,prominent
4469,romslig,adj,ADJ,roomy
4470,smell,n,NOUN,dent
4471,foregående,adj,ADJ,previous
4472,paradoks,n,NOUN,paradox
4473,kjennetegn,n,NOUN,characteristic
4474,personvern,n,NOUN,personal protection
4475,rikdom,n,NOUN,wealth
4476,slott,n,NOUN,castle
4477,forenkle,v,VERB,simplify
4478,lekse,n,NOUN,homework
4479,anelse,n,NOUN,idea
4480,list,n,NOUN,list
4481,haste,v,VERB,hurry
4482,heretter,adv,ADV,then
4483,konstruere,v,VERB,construct
4484,bygningslov,n,NOUN,construction act
4485,stell,n,NOUN,care
4486,pupp,n,NOUN,tit
4487,utviklingsland,n,NOUN,developing country
4488,bryggeri,n,NOUN,brewery
4489,komma,n,NOUN,comma
4490,innledende,adj,ADJ,introduction
4491,førstkommende,adj,ADJ,first
4492,kurv,n,NOUN,curve
4493,lim,n,NOUN,glue
4494,forpliktende,adj,ADJ,obliging
4495,knekke,v,VERB,break
4496,uttak,n,NOUN,selection
4497,væpne,v,VERB,equip
4498,vegvesen,n,NOUN,public road administration
4499,avsluttende,adj,ADJ,ending
4500,lokalisere,v,VERB,localise
4501,sopp,n,NOUN,mushroom
4502,opptur,n,NOUN,boom
4503,årstrinn,n,NOUN,year
4504,krf,n,NOUN,
4505,piksel,n,NOUN,pixel
4506,trikk,n,NOUN,trick
4507,forsyne,v,VERB,supply
4508,helsesøster,n,NOUN,nurse
4509,blomstre,v,VERB,grow
4510,fiber,n,NOUN,fibre
4511,stolthet,n,NOUN,pride
4512,dernest,adv,ADV,then
4513,etterretning,n,NOUN,report
4514,komplikasjon,n,NOUN,complication
4515,dress,n,NOUN,dress
4516,uakseptabel,adj,ADJ,unacceptable
4517,bratt,adj,ADJ,steep
4518,frø,n,NOUN,seed
4519,blokk,n,NOUN,block
4520,ran,n,NOUN,robbery
4521,integrasjon,n,NOUN,integration
4522,likeså,adv,ADV,like
4523,etappe,n,NOUN,stage
4524,slektning,n,NOUN,relation
4525,reisemål,n,NOUN,travel destination
4526,entydig,adj,ADJ,unambiguous
4527,misbruke,v,VERB,misuse
4528,ferdes,v,VERB,roam
4529,henrette,v,VERB,execute
4530,magi,n,NOUN,magic
4531,oppnevne,v,VERB,mention
4532,splitter,adv,ADV,
4533,faks,n,NOUN,fax
4534,sikring,n,NOUN,insurance
4535,skriving,n,NOUN,letter
4536,vinke,v,VERB,wave
4537,restriksjon,n,NOUN,restriction
4538,fremstilling,n,NOUN,presentation
4539,sovjetisk,adj,ADJ,Soviet
4540,sentralbank,n,NOUN,central bank
4541,biologi,n,NOUN,biology
4542,landslagssjef,n,NOUN,national team manager
4543,kampsport,n,NOUN,
4544,krydder,n,NOUN,spice
4545,lidenskap,n,NOUN,passion
4546,spilletid,n,NOUN,play time
4547,lengte,v,VERB,length
4548,elite,n,NOUN,elite
4549,pokker,interj,INTERJ,damn
4550,skandinavisk,adj,ADJ,Scandinavian
4551,pille,n,NOUN,tablet
4552,instans,n,NOUN,authority
4553,offside,n,NOUN,offside
4554,ev.,adj,ADJ,
4555,vedlegge,v,VERB,attach
4556,avhengighet,n,NOUN,dependence
4557,hyle,v,VERB,scream
4558,nærmiljø,n,NOUN,local community
4559,uendret,adj,ADJ,unchanged
4560,jage,v,VERB,chase
4561,elektrisitet,n,NOUN,electricity
4562,vedvare,v,VERB,remain
4563,mangelfull,adj,ADJ,insufficient
4564,introduksjon,n,NOUN,introduction
4565,notere,v,VERB,note
4566,elg,n,NOUN,elk
4567,insulin,n,NOUN,insulin
4568,tilslutning,n,NOUN,connection
4569,sammenslåing,n,NOUN,fusion
4570,ettertanke,n,NOUN,afterthought
4571,herje,v,VERB,ravage
4572,kontroversiell,adj,ADJ,controversial
4573,likeledes,adv,ADV,like
4574,videreføring,n,NOUN,continuation
4575,gjenspeile,v,VERB,replay
4576,nyskapende,adj,ADJ,innovative
4577,spekulere,v,VERB,speculate
4578,drakt,n,NOUN,costume
4579,skuffelse,n,NOUN,disappointment
4580,tromme,n,NOUN,drum
